authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
A. Hendy,A. Hendy,,26976,E. J.,Petuch,,,,1997,A new gastropod fauna from an Oligocene back-reef lagoonal environment in west central Florida.,The Nautilus,,110,4,122,138,journal article,stated with evidence,English,,,,NA,2008-04-08 13:26:26,2008-04-09 06:26:26
A. Hendy,A. Hendy,,27041,T. J.,DeVries,,,,2005,Late Cenozoic Muricidae from Peru: Seven new species and a biogeographic summary,The Veliger,,47,4,277,293,journal article,stated with evidence,English,,,,NA,2008-04-17 08:10:08,2008-04-18 01:10:08
A. Hendy,A. Hendy,,27056,T. J.,DeVries,L. T.,Groves,M. Urbina,2006,"A new early Miocene Muracypraea Woodring, 1957 (Gastropoda: Cypraeidae) from the Pisco Basin of southern Peru",The Nautilus,,120,3,101,105,journal article,stated with evidence,English,,,,NA,2008-04-20 12:05:21,2008-04-21 05:05:21
A. Hendy,A. Hendy,,27057,T. J.,DeVries,,,,2007,Cenozoic Turritellidae (Gastropoda) from southern Peru,Journal of Paleontology,,81,2,331,351,journal article,stated with evidence,English,,,,NA,2008-04-20 18:21:48,2008-04-21 11:21:48
A. Hendy,A. Hendy,,27057,T. J.,DeVries,,,,2007,Cenozoic Turritellidae (Gastropoda) from southern Peru,Journal of Paleontology,,81,2,331,351,journal article,stated with evidence,English,,,,,2008-04-20 18:21:48,2008-04-21 11:21:48
W. Kiessling,F. Reichel,,27058,K.,Goudon,,,,1994,"Devonian tetracoral assemblages and their distribution in Guangxi, China",Courier Forschungsinstitut Senckenberg,,172,2,7,13,journal article,stated without evidence,English,,,,NA,2008-04-21 00:41:19,2008-04-21 17:41:19
A. Hendy,A. Hendy,,27061,T. J.,DeVries,G. J.,Vermeij,,1997,orgHerminespina: New Genus of Neogene Muricid Gastropod from Peru and Chile,Journal of Paleontology,,71,4,610,615,journal article,stated with evidence,English,,,,NA,2008-04-21 10:29:33,2008-04-22 03:29:33
A. Hendy,A. Hendy,,27066,T. J.,DeVries,,,,2003,"Acanthina Fischer von Waldheim, 1807 (Gastropoda: Muricidae), an ocenebrine genus edemic to South America",The Veliger,,46,4,332,350,journal article,stated with evidence,English,,,,NA,2008-04-21 13:11:46,2008-04-22 06:11:46
A. Hendy,A. Hendy,,27072,T. J.,DeVries,B.,Hess,,2004,"Piscoacritia, gen. nov.: first account of Tribe Trochini (Gastropoda: Trochidae: Trochinae) from the Cenozoic of western South America",The Veliger,,47,1,6,12,journal article,stated with evidence,English,,,,NA,2008-04-21 14:30:46,2008-04-22 07:30:46
A. Hendy,A. Hendy,,27074,T. J.,DeVries,,,,2005,"The Late Cenozoic history of Xanthochorus Fischer, 1884 (GastropodaL Muricidae) in western South America",The Veliger,,47,4,259,276,journal article,stated with evidence,English,,,,NA,2008-04-21 14:55:58,2008-04-22 07:55:58
A. Hendy,A. Hendy,,27078,T. J.,DeVries,,,,2007,The Cenozoic Tegulinae (Gastropoda: Trochidae) from southern Peru,The Nautilus,,121,4,163,181,journal article,stated with evidence,English,,,,NA,2008-04-22 09:11:45,2008-04-23 02:11:45
A. Hendy,A. Hendy,,27082,T. J.,DeVries,,,,2006,"Five new Cenozoic epitoniids from Southern Peru and the Neogene history of Scalina Conrad, 1865 (Gastropoda: Epitoniidae) in the Americas",The Veliger,,49,4,231,251,journal article,stated with evidence,English,,,,NA,2008-04-22 14:19:34,2008-04-23 07:19:34
A. Hendy,A. Hendy,,27082,T. J.,DeVries,,,,2006,"Five new Cenozoic epitoniids from Southern Peru and the Neogene history of Scalina Conrad, 1865 (Gastropoda: Epitoniidae) in the Americas",The Veliger,,49,4,231,251,journal article,stated with evidence,English,,,,,2008-04-22 14:19:34,2008-04-23 07:19:34
A. Hendy,A. Hendy,,27085,T. J.,DeVries,,,,1995,"Concholepas Lamarck, 1801 (Neogastropoda: Muricoidea): A Neogene genus native to South America",The Veliger,,38,4,284,297,journal article,stated with evidence,English,,,,NA,2008-04-22 16:18:02,2008-04-23 09:18:02
W. Kiessling,U. Merkel,,27151,L.,Hints,A.,Oraspold,D. Kaljo,2000,"Stratotype of the Porkuni Stage with comments on the R�a Member (uppermost Ordovician, Estonia)","Proceedings of the Estonian Academy of Sciences, Geology",,49,3,177,199,journal article,stated without evidence,English,,,,NA,2008-05-07 06:29:07,2008-05-07 23:29:07
M. Uhen,M. Uhen,,27196,C. L.,Gazin,J. M.,Sullivan,,1942,"A new titanothere from the Eocene of Mississippi, with notes on the correlation between the marine Eocene of the Gulf Coastal Plain and continental Eocene of the Rocky Mountain Region",Smithsonian Miscellaneous Collections,,101,13,1,13,journal article,stated without evidence,English,,,,,2008-05-19 10:57:35,2008-05-20 03:57:35
J. Alroy,J. Alroy,,27231,D.,Nicol,,,,1944,"Paleoecology of three faunules in the Permian Kaibab Formation at Flagstaff, Arizona",Journal of Paleontology,,18,6,553,557,journal article,stated without evidence,English,,,,NA,2008-05-21 17:41:25,2008-05-22 10:41:25
M. Clapham,M. Clapham,M. Clapham,27295,T. G.,Sarycheva,J. B.,Waterhouse,,1972,Some brachiopods of the family Retariidae from the Permian of northern Canada,Paleontological Journal,,6,,501,513,journal article,stated with evidence,English,,,,NA,2008-06-05 08:27:57,2011-09-17 10:39:54
M. Clapham,M. Clapham,,27297,F.G.,Stehli,,,,1954,Lower Leonardian Brachiopoda of the Sierra Diablo,Bulletin of the American Museum of Natural History,,105,3,257,358,serial monograph,stated without evidence,English,,,,NA,2008-06-05 12:19:40,2008-06-06 05:19:40
M. Clapham,M. Clapham,,27298,G. R.,Shi,J.B.,Waterhouse,,1996,"Lower Permian brachiopods and molluscs from the upper Jungle Creek Formation, northern Yukon Territory, Canada",Geological Survey of Canada Bulletin,,424,,1,241,serial monograph,stated without evidence,English,,,,NA,2008-06-05 12:58:05,2008-06-06 05:58:05
M. Clapham,M. Clapham,M. Clapham,27299,W.,Waagen,,,,1884,"Productus Limestone Fossils, Part IV, fas. 4","Salt Range Fossils, Palaeontologia Indica, Series 13",,1,4,611,728,serial monograph,stated without evidence,English,,,,NA,2008-06-05 13:44:49,2011-10-29 13:05:26
M. Clapham,M. Clapham,,27301,N. W.,Archbold,,,,1986,"Studies on Western Australian Permian brachiopods 6. The genera Strophalosia King, 1844, Heteralosia King, 1938 and Echinalosia Waterhouse, 1967",Proceedings of the Royal Society of Victoria,,98,,97,119,journal article,stated without evidence,English,,,,NA,2008-06-05 14:13:22,2008-06-06 07:13:22
M. Clapham,M. Clapham,,27307,N. W.,Archbold,,,,1987,"Studies on Western Australian Permian brachiopods 7. The strophalosiid genera Wyndhamia Booker, 1929, Lialosia Muir-Wood and Cooper, 1960 and Liveringia gen. nov.",Proceedings of the Royal Society of Victoria,,99,,19,35,journal article,stated without evidence,English,,,,NA,2008-06-05 15:09:39,2008-06-06 08:09:39
M. Clapham,M. Clapham,,27308,N. W.,Archbold,G. A.,Thomas,,1986,"Neospirifer and Trigonotreta (Spiriferida, Brachiopoda) from the Permian of Western Australia",Alcheringa,,10,,125,161,journal article,stated without evidence,English,,,,NA,2008-06-05 15:24:26,2008-06-06 08:24:26
M. Clapham,M. Clapham,M. Clapham,27310,W.,Waagen,,,,1883,"Productus Limestone Fossils, Part IV, fas. 2","Salt Range Fossils, Palaeontologia Indica, Series 13",,1,4,391,546,serial monograph,stated without evidence,English,,,,NA,2008-06-05 17:32:10,2011-10-29 13:05:05
M. Clapham,M. Clapham,M. Clapham,27318,T. A.,Grunt,,,,1980,Athrididi Russkoi Platformi,"Akademiya Nauk SSSR, Trudy Paleontologicheskogo Instituta",,182,,1,164,book/book chapter,stated without evidence,Russian,,,,NA,2008-06-06 20:44:29,2015-06-10 06:57:22
M. Clapham,M. Clapham,M. Clapham,27321,V. E.,Ruzhentsev,T. G.,Sarycheva,,1965,The Development and Change of Marine Organisms at the Palaeozoic-Mesozoic Boundary,"Akademiya Nauk SSSR, Trudy Paleontologicheskogo Instituta",,108,,1,431,book/book chapter,stated without evidence,English,,English translation of Part 1 (faunal distribution and stratigraphy) only,,NA,2008-06-06 21:32:24,2015-06-10 04:00:42
M. Clapham,M. Clapham,M. Clapham,27323,I. P.,Morozova,,,,1970,Mshanki Pozdnei Permi,"Akademiya Nauk SSSR, Trudy Paleontologicheskogo Instituta",,122,,1,346,book/book chapter,stated with evidence,Russian,,,,NA,2008-06-06 22:24:37,2015-06-10 06:46:30
M. Clapham,M. Clapham,,27328,T. N.,Smirnova,,,,2007,"Permian terebratulids of Eurasia: morphology, systematics, and phylogeny",Paleontological Journal,,41,7,707,813,journal article,stated without evidence,English,,,,NA,2008-06-07 09:36:08,2008-06-08 02:36:08
M. Clapham,M. Clapham,M. Clapham,27333,W.,Waagen,,,,1881,"Productus Limestone Fossils, Part III","Salt Range Fossils, Palaeontologia Indica, Series 13",,1,3,185,328,serial monograph,stated without evidence,English,,,,NA,2008-06-07 10:26:08,2011-10-29 13:04:29
M. Clapham,M. Clapham,,27334,A.,Logan,,,,1967,The Permian Bivalvia of northern England,Palaeontographical Society Monographs,,121,518,1,72,serial monograph,stated without evidence,English,,,,NA,2008-06-07 10:31:05,2008-06-08 03:31:05
M. Clapham,M. Clapham,,27336,N. W.,Archbold,,,,1981,Studies on Western Australian Permian brachiopods 2. The Family Rugosochonetidae Muir-Wood 1962,Proceedings of the Royal Society of Victoria,,93,,109,128,journal article,stated without evidence,English,,,,NA,2008-06-07 11:34:16,2008-06-08 04:34:16
M. Clapham,M. Clapham,,27339,N. W.,Archbold,,,,1983,Studies on Western Australian Permian brachiopods 3. The Family Linoproductidae Stehli 1954,Proceedings of the Royal Society of Victoria,,95,4,237,254,journal article,stated without evidence,English,,,,NA,2008-06-07 12:11:29,2008-06-08 05:11:29
M. Clapham,M. Clapham,,27340,N. W.,Archbold,T.,Hogeboom,,2000,"Subsurface Brachiopoda from borehole cores through the Early Permian sequence of the Carnarvon Basin, Western Australia: correlations with palynological biostratigraphy",Proceedings of the Royal Society of Victoria,,112,1,93,109,journal article,stated without evidence,English,,,,NA,2008-06-07 12:14:44,2008-06-08 05:14:44
M. Clapham,M. Clapham,M. Clapham,27341,V. A.,Muromtseva,V. A.,Guskov,,1984,,Permskie Morskie Otlozheniya I Dvustvorchatie Mollyuski Sovetskoi Arktiki,,,,1,154,book/book chapter,stated with evidence,Russian,,,,NA,2008-06-07 13:15:29,2013-04-07 06:18:01
M. Clapham,M. Clapham,,27342,N.V.,Kalashnikov,,,,1993,,Brakhiopody Permi Evropeiskogo Severa Rossyy,,,,1,114,book/book chapter,stated without evidence,English,,,,NA,2008-06-07 13:44:33,2008-06-08 06:44:33
M. Clapham,M. Clapham,M. Clapham,27343,N. V.,Kalashnikov,,,,1998,,Permian Spiriferids from the North of European Russia,,,,1,139,book/book chapter,stated with evidence,Russian,,,,NA,2008-06-07 14:25:06,2009-01-25 11:30:19
M. Clapham,M. Clapham,,27345,B.C.,Abramov,A.D.,Grigorieva,,1988,,Biostratigraphiya i Brakhiopody Permi Verkhoyaniya,,,,1,204,book/book chapter,stated without evidence,Russian,,,,NA,2008-06-07 16:06:25,2008-06-08 09:06:25
M. Clapham,M. Clapham,,27348,J. B.,Waterhouse,,,,1975,New Permian and Triassic brachiopod taxa,"Papers - Department of Geology, University of Queensland",,7,1,1,23,journal article,stated without evidence,English,,,,NA,2008-06-07 20:53:06,2008-06-08 13:53:06
M. Clapham,M. Clapham,,27351,J. B.,Waterhouse,D.J.C.,Briggs,,1986,"Late Palaeozoic Scyphozoa and Brachiopoda (Inarticulata, Strophomenida, Productida and Rhynchonellida) from the southeast Bowen Basin, Australia",Palaeontographica Abteilung A,,193,1-4,1,76,journal article,stated without evidence,English,,,,NA,2008-06-09 15:05:29,2008-06-10 08:05:29
M. Clapham,M. Clapham,,27365,R. E.,Grant,,,,1965,The brachiopod superfamily Stenoscismatacea,Smithsonian Miscellaneous Contributions,,148,2,1,192,serial monograph,stated without evidence,English,,,,NA,2008-06-10 09:39:38,2008-06-11 02:39:38
M. Clapham,M. Clapham,,27366,N. W.,Archbold,,,,1984,Western Australian occurrences of the Permian brachiopod genus Retimarginifera,Alcheringa,,8,,113,122,journal article,stated without evidence,English,,,,NA,2008-06-10 10:17:41,2008-06-11 03:17:41
M. Clapham,M. Clapham,,27368,J. B.,Waterhouse,,,,1987,"Late Palaeozoic Brachiopoda (Athyrida, Spiriferida and Terebratulida) from the southeast Bowen Basin, east Australia",Palaeontographica Abteilung A,,196,1-3,1,56,journal article,stated without evidence,English,,,,NA,2008-06-10 10:43:57,2008-06-11 03:43:57
M. Clapham,M. Clapham,M. Clapham,27370,D. J. C.,Briggs,,,,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,Memoirs of the Association of Australasian Palaeontologists,,19,,1,258,serial monograph,stated with evidence,English,,,,NA,2008-06-10 11:22:43,2013-04-03 09:54:48
M. Clapham,M. Clapham,,27372,K.S.W.,Campbell,,,,1961,New species of the Permian spiriferoides Ingelarella and Notospirifer from Queensland and their stratigraphic implications,Palaeontographica Abteilung A,,117,5-6,159,192,journal article,stated without evidence,English,,,,NA,2008-06-10 12:55:33,2008-06-11 05:55:33
M. Clapham,M. Clapham,,27374,K.S.W.,Campbell,,,,1960,The brachiopod genera Ingelarella and Notospirifer in the Permian of Queensland,Journal of Paleontology,,34,6,1106,1123,journal article,stated without evidence,English,,,,NA,2008-06-10 14:32:46,2008-06-11 07:32:46
M. Clapham,M. Clapham,M. Clapham,27376,J.,Armstrong,,,,1970,Syringothyrid brachiopods from the Permian of eastern Australia,"Neues Jahrbuch f�r Geologie und Pal�ontologie, Abhandlungen",,136,2,135,165,journal article,stated without evidence,English,,,,NA,2008-06-10 15:13:07,2013-04-03 11:29:00
W. Kiessling,U. Merkel,,27387,R.,Ludvigsen,S. R.,Westrop,C. H. Kindle,1989,"Sunwaptan (Upper Cambrian) trilobites of the Cow Head Group, western Newfoundland, Canada",Palaeontographica Canadiana,,6,,1,175,serial monograph,stated without evidence,English,,,,NA,2008-06-16 03:05:21,2008-06-16 20:05:21
P. Novack-Gottshall,P. Novack-Gottshall,,27389,P. J.,Lesp�rance,,,,1988,"Perc�, Qu�bec, Canada",Bulletin of the British Museum of Natural History (Geology),,43,,239,245,journal article,stated without evidence,English,,,,NA,2008-06-16 08:29:17,2008-06-17 01:29:17
M. Clapham,M. Clapham,,27396,Z.T.,Liao,,,,1983,Two new genera of Brachiopoda from the Heshan Formation (Upper Permian) of Guangxi,Acta Palaeontologica Sinica,,22,6,637,641,journal article,stated without evidence,English,,,,NA,2008-06-17 15:50:13,2008-06-18 08:50:13
M. Clapham,M. Clapham,M. Clapham,27402,Z. T.,Liao,,,,1980,Upper Permian brachiopods from western Guizhou,Late Permian Stratigraphy and Fossils in Western Guizhou and Eastern Yunnan,,,,241,277,book/book chapter,stated with evidence,Chinese,,,,NA,2008-06-20 17:59:38,2009-02-09 13:10:53
M. Clapham,M. Clapham,,27418,L.,Angiolini,D.,Vaslet,"Y.-M. Le Nindre, M. Zarbo",2006,"New records and new taxa of Permian brachiopods from the Khuff Formation, Midhnab Member, central Saudi Arabia",GeoArabia,,11,4,45,57,journal article,stated without evidence,English,,,,NA,2008-06-21 20:21:07,2008-06-22 13:21:07
M. Clapham,M. Clapham,,27427,R. E.,Grant,,,,1968,"Structural adaptation in two Permian brachiopod genera, Salt Range, West Pakistan",Journal of Paleontology,,42,1,1,41,journal article,stated without evidence,English,,,,NA,2008-06-22 13:32:30,2008-06-23 06:32:30
M. Clapham,M. Clapham,,27430,N. W.,Archbold,G. A.,Thomas,,1985,New genera of Western Australian Permian Spiriferidae (Brachiopoda),Alcheringa,,9,,269,292,journal article,stated without evidence,English,,,,NA,2008-06-22 19:29:33,2008-06-23 12:29:33
M. Clapham,M. Clapham,,27437,K.W.,Ciriacks,,,,1963,Permian and Eotriassic bivalves of the middle Rockies,Bulletin of the American Museum of Natural History,,125,1,1,100,journal article,stated without evidence,English,,,,NA,2008-06-22 21:27:06,2008-06-23 14:27:06
M. Clapham,M. Clapham,,27458,N. W.,Archbold,,,,1980,Studies on Western Australian Permian brachiopods 1. The family Anopliidae (Chonetidina),Proceedings of the Royal Society of Victoria,,92,,181,192,journal article,stated without evidence,English,,,,NA,2008-06-27 16:45:42,2008-06-28 09:45:42
M. Clapham,M. Clapham,M. Clapham,27464,W.,Waagen,,,,1882,"Productus Limestone Fossils, Part IV, fas. 1","Salt Range Fossils, Palaeontologia Indica, Series 13",,1,4,329,390,serial monograph,stated without evidence,English,,,,NA,2008-06-27 18:47:50,2011-10-29 13:04:49
M. Clapham,M. Clapham,,27465,L.,Angiolini,H.,Bucher,"A. Pillevuit, J.-P. Platel, J. Roger, J. Broutin, A. Baud, J. Marcoux, H. Al Hashmi",1997,Early Permian (Sakmarian) brachiopods from southeastern Oman,Geobios,,30,3,379,405,journal article,stated without evidence,English,,,,NA,2008-06-27 18:52:53,2008-06-28 11:52:53
M. Clapham,M. Clapham,,27470,L.,Angiolini,L.,Carabelli,"A. Nicora, S. Crasquin-Soleau, J. Marcoux, R. Rettori",2007,"Brachiopods and other fossils from the Permo-Triassic boundary beds of the Antalya Nappes (SW Taurus, Turkey)",Geobios,,40,,715,729,journal article,stated without evidence,English,,,,NA,2008-06-27 19:59:04,2008-06-28 12:59:04
M. Clapham,M. Clapham,,27471,X.L.,He,M.L.,Zhu,,1985,Some Upper Permian new genera and species of Orthotetacea in southwest China,Acta Palaeontologica Sinica,,24,2,198,204,journal article,stated without evidence,Chinese,,,,NA,2008-06-27 20:04:15,2008-06-28 13:04:15
M. Clapham,M. Clapham,,27475,L.,Angiolini,,,,2007,"Quantitative palaeoecology in the Pachycyrtella bed, Early Permian of interior Oman",Palaeoworld,,16,,233,245,journal article,stated without evidence,English,,,,NA,2008-06-27 22:06:30,2008-06-28 15:06:30
M. Clapham,M. Clapham,,27477,N. W.,Archbold,,,,1985,Studies on Western Australian Permian brachiopods 5. The family Dictyoclostidae Stehli 1954,Proceedings of the Royal Society of Victoria,,97,1,19,30,journal article,stated without evidence,English,,,,NA,2008-06-27 22:39:18,2008-06-28 15:39:18
M. Clapham,M. Clapham,M. Clapham,27478,W.,Waagen,,,,1884,"Productus Limestone Fossils, Part IV, fas. 3","Salt Range Fossils, Palaeontologia Indica, Series 13",,1,4,547,610,serial monograph,stated without evidence,English,,,,NA,2008-06-28 10:21:20,2011-10-29 13:05:40
M. Clapham,M. Clapham,M. Clapham,27481,C. O.,Dunbar,,,,1955,Permian brachiopod faunas of central east Greenland,Meddelelser om Gr�nland,,110,3,1,169,serial monograph,stated without evidence,English,,,,NA,2008-06-28 11:17:26,2008-07-30 04:51:59
M. Clapham,M. Clapham,M. Clapham,27483,W.,Waagen,J.,Wentzel,,1886,"Productus Limestone Fossils, Part VI","Salt Range Fossils, Palaeontologia Indica, Series 13",,1,6,835,924,serial monograph,stated without evidence,English,,,,NA,2008-06-28 13:09:16,2011-10-29 13:06:51
M. Clapham,M. Clapham,,27494,D. W.,Boyd,N.D.,Newell,,1972,Taphonomy and diagenesis of a Permian fossil assemblage from Wyoming,Journal of Paleontology,,46,1,1,14,journal article,stated without evidence,English,,,,NA,2008-06-28 19:22:38,2008-06-29 12:22:38
M. Clapham,M. Clapham,,27496,N. D.,Newell,K.W.,Ciriacks,,1962,A new bivalve from the Permian of the western United States,American Museum Novitates,,2121,,1,4,journal article,stated without evidence,English,,,,NA,2008-06-28 19:59:49,2008-06-29 12:59:49
M. Clapham,M. Clapham,,27515,N. D.,Newell,,,,1957,Notes on certain primitive heterodont pelecypods,American Museum Novitates,,1857,,1,14,serial monograph,stated without evidence,English,,,,NA,2008-06-30 10:57:40,2008-07-01 03:57:40
M. Clapham,M. Clapham,M. Clapham,27539,W.,Waagen,J.,Pichl,,1885,"Productus Limestone Fossils, Part V","Salt Range Fossils, Palaeontologia Indica, Series 13",,1,5,771,834,journal article,stated without evidence,English,,,,NA,2008-07-03 22:54:43,2011-10-29 13:00:11
M. Clapham,M. Clapham,,27547,N. W.,Archbold,,,,1981,A new species of Tornquistia (Brachiopoda: Chonetidina) from the Artinskian (Permian) of Western Australia,"Memoirs of the National Museum, Victoria",,42,,7,14,journal article,stated without evidence,English,,,,NA,2008-07-04 17:54:24,2008-07-05 10:54:24
M. Clapham,M. Clapham,,27550,N. W.,Archbold,,,,1984,Studies on Western Australian Permian brachiopods 4. Productellidae Schuchert & LeVene 1929 and Overtoniidae Muir-Wood & Cooper 1960,Proceedings of the Royal Society of Victoria,,96,2,83,92,journal article,stated without evidence,English,,,,NA,2008-07-04 18:48:49,2008-07-05 11:48:49
M. Clapham,M. Clapham,M. Clapham,27553,G. A.,Thomas,,,,1958,The Permian Orthotetacea of Western Australia,"Bureau of Mineral Resources, Geology and Geophysics Bulletin",,39,,1,158,serial monograph,stated without evidence,English,,,,NA,2008-07-04 20:21:57,2013-04-03 07:55:16
M. Clapham,M. Clapham,,27556,N. W.,Archbold,G. A.,Thomas,,1984,Permian Elythidae (Brachiopoda) from Western Australia,Alcheringa,,8,,311,326,journal article,stated without evidence,English,,,,NA,2008-07-04 20:51:46,2008-07-05 13:51:46
L. Ivany,P. Wall,,27610,T.,Gillette,,,,1947,The Clinton of Western and Central New York,New York State Museum Bulletin,,,341,,,serial monograph,stated without evidence,English,,,,NA,2008-07-15 17:36:28,2008-07-16 10:36:28
M. Clapham,M. Clapham,,27672,N. W.,Archbold,G. A.,Thomas,,1987,"Fusispirifer (Spiriferidae, Brachiopoda) from the Permian of Australia and Afghanistan",Alcheringa,,11,,175,203,journal article,stated without evidence,English,,,,NA,2008-07-21 20:17:33,2008-07-22 13:17:33
M. Clapham,M. Clapham,,27678,B.K.,Licharew,G.V.,Kotlyar,,1978,Permiskie brakhiopodi yujnogo Primoriya,Verkhniy Paleozoi Severo-Vostochnoi Azii,,,,63,75,book/book chapter,stated without evidence,Russian,,,,NA,2008-07-22 06:35:01,2008-07-22 23:35:01
M. Clapham,M. Clapham,,27702,J. B.,Waterhouse,,,,1983,"Permian brachiopods from Pija Member, Senja Formation in Manang District of Nepal, with new brachiopod genera and species from other region",Bulletin of the Indian Geologists' Association,,16,2,111,151,journal article,stated without evidence,English,,,,NA,2008-07-24 14:03:24,2008-07-25 07:03:24
A. Hendy,A. Hendy,,27708,G. R.,Scott,W. A.,Cobban,E. A. Merewether,1986,"Stratigraphy of the Upper Cretaceous Niobrara Formation in the Raton basin, New Mexico",New Mexico Bureau of Mines and Mineral Resources Bulletin,,115,,1,34,journal article,stated without evidence,English,,,,NA,2008-07-24 20:37:55,2008-07-25 13:37:55
M. Clapham,M. Clapham,,27724,Z.J.,Fang,,,,1987,"Bivalves from the upper part of the Permian in southern Hunan, China","Collection of Postgraduate Theses of the Nanjing Institute of Geology and Palaeontology, Academia Sinica",,1987,1,349,411,serial monograph,stated without evidence,Chinese,,,,NA,2008-07-25 14:04:24,2008-07-26 07:04:24
M. Clapham,M. Clapham,,27742,H.F.,Hou,L.P.,Zhan,B.W. Chen,1979,,The Coal-Bearing Strata and Fossils of the Late Permian from Guangdong,,,,1,166,book/book chapter,stated without evidence,Chinese,,,,NA,2008-07-25 19:14:33,2008-07-26 12:14:33
A. Hendy,A. Hendy,,27747,T.,Komatsu,M.,Ono,"H. Naruse, T. Kumagae",2008,"Upper Cretaceous depositional environments and bivalve assemblages of far-east Asia: the Himenoura Group, Kyushu, Japan",Cretaceous Research,,29,,489,508,journal article,stated without evidence,English,,,,NA,2008-07-25 21:26:29,2008-07-26 14:26:29
M. Clapham,M. Clapham,M. Clapham,27755,B.,Waterhouse,Z. Q.,Chen,,2007,"Brachiopoda from the Late Permian Senja Formation, Manang area, Nepal Himalaya",Palaeontographica Abteilung A,,280,1-3,1,69,journal article,stated with evidence,English,,,,NA,2008-07-26 21:13:53,2008-11-22 14:54:27
M. Clapham,M. Clapham,,27767,T.G.,Il'ina,,,,1987,The morphogenesis and microstructure of the carinae in corals of the genus Lophocarinophyllum,Paleontological Journal,,21,2,36,48,journal article,stated without evidence,English,,,,NA,2008-07-27 13:24:26,2008-07-28 06:24:26
M. Clapham,M. Clapham,M. Clapham,27771,L. V.,Kushnar,,,,1986,Pozdnepermskie dvustvorchatye mollyuski Primor'ya [Late Permian bivalve molluscs from Primorye],Voprosy Paleontologii,,9,,47,60,journal article,stated without evidence,Russian,,,,NA,2008-07-27 19:09:02,2011-06-18 13:56:29
W. Kiessling,U. Merkel,,27802,A.,Nowinski,,,,1992,Tabulate corals from the Givetian and Frasnian of the Holy Cross Mountains and Silesian Upland,Acta Palaeontologica Polonica,,37,,183,216,journal article,stated without evidence,English,,,,NA,2008-07-30 03:08:49,2008-07-30 20:08:49
W. Kiessling,U. Merkel,,27803,G.,Racki,,,,1992,Brachiopod assemblages in the Devonian Kowala Formation of the Holy Cross Mountains,Acta Palaeontologica Polonica,,37,,297,357,journal article,stated without evidence,English,,,,NA,2008-07-30 04:05:08,2008-07-30 21:05:08
W. Kiessling,U. Merkel,,27804,J.,Kazmierczak,,,,1971,"Morphogenesis and systematics of the Devonian Stromatoporoidea from the Holy Cross Mountains, Poland",Palaeontologia Polonica,,26,,1,150,serial monograph,stated without evidence,English,,,,NA,2008-07-30 04:26:24,2008-07-30 21:26:24
M. Clapham,M. Clapham,,27841,J. L.,Cisne,,,,1971,"Paleoecology of trilobites of the Kaibab limestone (Permian) in Arizona, Utah, and Nevada",Journal of Paleontology,,45,3,525,533,journal article,stated without evidence,English,,,,NA,2008-08-01 18:52:15,2008-08-02 11:52:15
W. Kiessling,U. Merkel,,27874,G.,Racki,A.,Balinski,,1981,Environmental interpretation of the atrypid shell beds from the Middle to Upper Devonian boundary of the Holy Cross Mountains and Cracow Upland,Acta Geologica Polonica,,31,,177,211,journal article,stated without evidence,English,,,,NA,2008-08-05 07:04:35,2008-08-06 00:04:35
M. Clapham,M. Clapham,,27926,J. M.,Dickins,,,,1961,Permian pelecypods newly recorded from eastern Australia,Palaeontology,,4,1,119,130,journal article,stated without evidence,English,,,,NA,2008-08-08 22:59:07,2008-08-09 15:59:07
M. Clapham,M. Clapham,,27929,N. W.,Archbold,,,,1993,"Studies on Western Australia Permian brachiopods 11. New genera, species and records",Proceedings of the Royal Society of Victoria,,105,1,1,29,journal article,stated without evidence,English,,,,NA,2008-08-09 20:05:31,2008-08-10 13:05:31
M. Clapham,M. Clapham,,27930,G.,McClung,J.,Armstrong,,1978,Species of Glendonia gen. nov. (Ingelarellinae: Spiriferida) in the Permian of eastern Australia,Geological Survey of Queensland Publication,,365,,1,5,journal article,stated without evidence,English,,,,NA,2008-08-10 10:01:27,2008-08-11 03:01:27
M. Clapham,M. Clapham,M. Clapham,27931,N. W.,Archbold,G. A.,Thomas,,1993,"Imperiospira, a new Western Australian Permian Spiriferidae (Brachiopoda)",Memoirs of the Association of Australasian Palaeontologists,,15,,313,328,journal article,stated without evidence,English,,,,NA,2008-08-10 12:30:22,2013-04-03 09:54:36
M. Clapham,M. Clapham,,27933,N. W.,Archbold,G. A.,Thomas,,1986,Permian Ingelarellidae (Brachiopoda) from Western Australia and Argentina,Journal of Paleontology,,60,3,581,605,journal article,stated without evidence,English,,,,NA,2008-08-10 12:56:24,2008-08-11 05:56:24
A. Miller,J. Sessa,,27936,J. R.,Bryan,D. S.,Jones,,1989,"Fabric of the Cretaceous-Tertiary Marine Macrofaunal Transition at Braggs, Alabama","Palaeogeography, Palaeoclimatology, Palaeoecology",,69,,279,301,journal article,stated without evidence,English,,,,NA,2008-08-11 07:33:44,2008-08-12 00:33:44
